Month,Alien abduction (alien_terms),Area 51 (conspiracy-adjacent),Men in Black (conspiracy-adjacent),NASA UFO (government_terms),Project Blue Book (conspiracy-adjacent),Roswell (conspiracy-adjacent),U.F.O. (UFO_keywords),UAP (government_terms),UFO (UFO_keywords),UFO Pentagon (government_terms),UFO conspiracy (conspiracy-adjacent),UFO disclosure (government_terms),UFO documentary (popular_culture),UFO sighting (UFO_keywords),UFO video (popular_culture),UFOs (UFO_keywords),alien encounter (alien_terms),alien movies (popular_culture),alien sightings (popular_culture),alien spacecraft (alien_terms),congress UFO (government_terms),contact with aliens (alien_terms),extraterrestrial (alien_terms),unidentified flying object (UFO_keywords)
2021-07,18,2,20,10,6,61,0,18,28,4,7,10,41,1,5,3,28,15,16,9,2,7,13,0
2021-08,17,2,16,8,9,61,4,12,25,2,8,8,81,1,4,3,47,13,14,10,1,6,14,0
2021-09,15,2,18,4,5,53,6,9,17,1,6,6,26,0,3,2,35,11,10,8,1,5,15,0
2021-10,22,2,23,8,5,53,4,8,18,1,6,5,23,0,3,2,32,13,12,13,0,9,16,0
2021-11,14,2,18,8,5,56,2,8,19,1,7,5,20,0,2,2,24,11,11,7,0,5,13,0
2021-12,14,2,17,12,5,54,2,8,19,1,7,4,24,1,3,2,38,11,12,10,1,7,15,0
2022-01,17,2,22,12,7,54,3,8,19,1,7,5,26,1,4,2,35,14,17,12,1,10,17,0
2022-02,15,2,23,8,6,54,4,10,18,1,8,3,25,1,3,2,32,12,11,13,0,5,18,0
2022-03,15,2,22,5,5,56,3,9,16,1,7,4,20,0,2,2,27,11,12,11,0,7,18,0
2022-04,15,2,21,8,5,54,4,9,19,4,8,4,22,0,3,2,32,12,13,16,0,7,21,0
2022-05,17,2,20,15,5,57,7,22,29,6,12,9,27,1,6,3,41,12,15,12,32,7,20,0
2022-06,16,2,20,26,4,63,7,15,21,1,6,5,29,1,3,2,36,14,15,10,3,19,17,0
2022-07,19,2,22,20,4,62,3,18,22,1,7,4,30,1,3,2,37,15,14,12,2,10,16,0
2022-08,18,2,35,12,3,58,3,17,25,1,8,4,37,1,4,3,34,22,13,10,5,5,16,0
2022-09,16,2,21,12,3,59,2,15,20,1,6,2,24,1,3,3,28,13,13,11,2,5,19,0
2022-10,20,2,25,23,3,51,3,16,22,1,6,2,23,1,3,2,31,13,12,10,2,4,17,0
